# wavenlength / nm,    wavenumber / cm-1,  norm. absorbance
4.030151367000000278e+02,2.481296380548576863e+01,5.535958657352007400e-02
4.019326477000000182e+02,2.487979032612433272e+01,6.503777554896260360e-02
4.010046386999999868e+02,2.493736738911195161e+01,8.408181445540423293e-02
4.000765076000000136e+02,2.499521918942085819e+01,9.891924720133350724e-02
3.989934997999999950e+02,2.506306494971124366e+01,1.190088725628358768e-01
3.980650635000000079e+02,2.512152137159356613e+01,1.410189261430621621e-01
3.969816895000000159e+02,2.519007869757176721e+01,1.608571432318092465e-01
3.960529480000000149e+02,2.524914926273948623e+01,1.933530535919261995e-01
3.949692688000000089e+02,2.531842548252452829e+01,2.175385689439525427e-01
3.940402222000000165e+02,2.537811988879748171e+01,2.405248679308848170e-01
3.929561767999999802e+02,2.544813032698459665e+01,2.626718878384441958e-01
3.920268249999999739e+02,2.550845850918492630e+01,2.768795350203748784e-01
3.909424437999999782e+02,2.557921289589073766e+01,3.079228873059377536e-01
3.900128174000000172e+02,2.564018297312502526e+01,3.273275684084324677e-01
3.889281005999999934e+02,2.571169320132174718e+01,3.514442058563483351e-01
3.879981688999999960e+02,2.577331750907652363e+01,3.683190787096598529e-01
3.870681152000000225e+02,2.583524606472158069e+01,3.885558046792901843e-01
3.859828795999999898e+02,2.590788485324311452e+01,4.139511379474755670e-01
3.850525513000000046e+02,2.597048108430492164e+01,4.285289534023571933e-01
3.839669799999999782e+02,2.604390617130671259e+01,4.513372816685068956e-01
3.830363464000000135e+02,2.610718302319312301e+01,4.726150223094566227e-01
3.819504395000000159e+02,2.618140723464201969e+01,4.929902452149781400e-01
3.810195006999999805e+02,2.624537584461749873e+01,5.123503289080140188e-01
3.799332886000000258e+02,2.632041018792686771e+01,5.341661066127135760e-01
3.790020751999999788e+02,2.638507980391132435e+01,5.531029336599443402e-01
3.780707396999999901e+02,2.645007653312452334e+01,5.769048757393325788e-01
3.769840088000000264e+02,2.652632410544836716e+01,6.045770622864816701e-01
3.760523987000000261e+02,2.659203886099290770e+01,6.299941141937853706e-01
3.749653319999999894e+02,2.666913217459794438e+01,6.578303187472297475e-01
3.740334472999999775e+02,2.673557691748173326e+01,6.885812098403715220e-01
3.729460449000000040e+02,2.681353009838555224e+01,7.153542297290151897e-01
3.720138549999999782e+02,2.688071926783479881e+01,7.450995520867598199e-01
3.709261475000000132e+02,2.695954455462053900e+01,7.708451556301416652e-01
3.699937133999999901e+02,2.702748624593252558e+01,7.936295417011633990e-01
3.690610962000000086e+02,2.709578468975457355e+01,8.182769658251862754e-01
3.679729308999999944e+02,2.717591203119664200e+01,8.385997287766825403e-01
3.670400695999999812e+02,2.724498175607364558e+01,8.526868436702712550e-01
3.659515685999999732e+02,2.732602032082122179e+01,8.699841354217819900e-01
3.650184021000000030e+02,2.739587906381884963e+01,8.838842244814887339e-01
3.639295958999999812e+02,2.747784217788042938e+01,9.016320662373548123e-01
3.629961852999999792e+02,2.754849886848108653e+01,9.155010915985378750e-01
3.620626220999999987e+02,2.761953151087230296e+01,9.200050450311265671e-01
3.609733582000000069e+02,2.770287549714243625e+01,9.353901254104100005e-01
3.600395202999999924e+02,2.777472870663637750e+01,9.401992360852488018e-01
3.589499207000000069e+02,2.785903944622322825e+01,9.503337426437521440e-01
3.580158385999999950e+02,2.793172514127982708e+01,9.587814104468854737e-01
3.569259337999999957e+02,2.801701712603322392e+01,9.682999964886396249e-01
3.559915770999999722e+02,2.809055225818150703e+01,9.704665155966832879e-01
3.550570983999999726e+02,2.816448409301820988e+01,9.766142578511426420e-01
3.539667357999999808e+02,2.825124224568449094e+01,9.826796361517780021e-01
3.530319824000000040e+02,2.832604551014752303e+01,9.983900463204620213e-01
3.519413147000000208e+02,2.841382805120264976e+01,9.956046406279972505e-01
3.510062866000000099e+02,2.848951822733535977e+01,9.951622112827003264e-01
3.500711670000000026e+02,2.856562020144892244e+01,9.951537040574002235e-01
3.489800415000000271e+02,2.865493383810030537e+01,1.000000000000000000e+00
3.480446471999999858e+02,2.873194597431521657e+01,9.971579457884797160e-01
3.469532166000000188e+02,2.882232970195786237e+01,9.877765678401463356e-01
3.460175476000000003e+02,2.890026840939323449e+01,9.814387066163752227e-01
3.449258118000000195e+02,2.899174158006576718e+01,9.799564227309814912e-01
3.439898987000000261e+02,2.907062107867645651e+01,9.687201911388330089e-01
3.430538634999999772e+02,2.914994134733014164e+01,9.584418385156885378e-01
3.419617003999999838e+02,2.924304092622882578e+01,9.478635480298019944e-01
3.410254211000000168e+02,2.932332718113605452e+01,9.370710363554106692e-01
3.399329223999999954e+02,2.941756841143198642e+01,9.272539310426270998e-01
3.389963988999999742e+02,2.949883843146630014e+01,9.144352647201731132e-01
3.380597228999999970e+02,2.958057207825984491e+01,8.923275093552274218e-01
3.369667969000000198e+02,2.967651439844279793e+01,8.839386179587181980e-01
3.360299072000000251e+02,2.975925590470775717e+01,8.676251765629847679e-01
3.349366759999999772e+02,2.985638992846516615e+01,8.516274614367563833e-01
3.339995117000000278e+02,2.994016353228099447e+01,8.349203767567145995e-01
3.330622559000000251e+02,3.002441682555119939e+01,8.216220949562077491e-01
3.319685974000000215e+02,3.012333117746877420e+01,7.946591492516240640e-01
3.310310668999999848e+02,3.020864504847475374e+01,7.862660685980886743e-01
3.299371338000000264e+02,3.030880424045194133e+01,7.615777849672697997e-01
3.289993590999999924e+02,3.039519598869638273e+01,7.478079433866481329e-01
3.280614623999999822e+02,3.048209297990375788e+01,7.267577655297606798e-01
3.269671326000000136e+02,3.058411382355560804e+01,7.016078468978458327e-01
3.260289917000000059e+02,3.067211890530776941e+01,6.951481161900449068e-01
3.249343567000000235e+02,3.077544677503165005e+01,6.675921278740575282e-01
3.239959716999999841e+02,3.086458127096522830e+01,6.533864946598610945e-01
3.230574646000000030e+02,3.095424528382805818e+01,6.350744182572933827e-01
3.219624329000000102e+02,3.105952427408185201e+01,6.074507604351359058e-01
3.210236815999999749e+02,3.115034987499813468e+01,5.864390575534750294e-01
3.199283447000000251e+02,3.125699915516113236e+01,5.654153674853441558e-01
3.189893799000000172e+02,3.134900604883742403e+01,5.554894114679739259e-01
3.180502930000000106e+02,3.144156826794685600e+01,5.348308466657556437e-01
3.169545593000000281e+02,3.155026393084606084e+01,5.047906464927078840e-01
