# wavenlength / nm,  wavenumber / cm-1,  norm. intensity for wavelength, norm. intensity for wavenumber
4.565000000000000000e+02,2.190580503833515991e+01,3.905932827821530394e-06,8.139661303385913316e-01
4.570000000000000000e+02,2.188183807439824946e+01,3.916444892418239564e-06,8.179455993366570032e-01
4.575000000000000000e+02,2.185792349726775896e+01,3.954311240993018753e-06,8.276620571850950014e-01
4.580000000000000000e+02,2.183406113537117932e+01,3.985138603452371210e-06,8.359386140145832478e-01
4.585000000000000000e+02,2.181025081788440545e+01,4.039061858326748387e-06,8.491006717466302867e-01
4.590000000000000000e+02,2.178649237472766842e+01,4.068530348413816744e-06,8.571620423341713702e-01
4.595000000000000568e+02,2.176278563656147824e+01,4.109484368767325710e-06,8.676775569926256093e-01
4.600000000000000000e+02,2.173913043478260931e+01,4.162235985548232044e-06,8.807291345420059647e-01
4.605000000000000000e+02,2.171552660152008585e+01,4.205101564252677489e-06,8.917348889908137677e-01
4.610000000000000568e+02,2.169197396963123481e+01,4.254880209634413501e-06,9.042513970317154204e-01
4.615000000000000000e+02,2.166847237269772464e+01,4.272417131423214453e-06,9.099490135890618836e-01
4.619999999999999432e+02,2.164502164502164661e+01,4.302254367857844939e-06,9.182903812930496290e-01
