Wavelength,S1 / R1,S1/R1c,S1c / R1,S1c / R1c,S1,R1
nm,Undefined / MicroAmps, ,Undefined / MicroAmps,Undefined / MicroAmps,CPS,MicroAmps
490.5,1677.00199999142,1384.3767888373,2467.97638511091,2037.3316328565,18308,10.9170071739559
491,1660.15402870583,1370.46867162164,2451.00595912032,2023.32242843207,18116.5,10.912526567817
491.5,1634.43524402014,1349.23763638366,2420.70305810799,1998.30717335418,17844.5,10.9177956840983
492,1604.62017753093,1324.62509209003,2384.04827248572,1968.0483934508,17524,10.9208079674637
492.5,1560.0197054584,1287.8070928815,2324.99930678271,1919.30306248249,17033,10.9183625114984
493,1568.77421801515,1295.03400375055,2345.55246151475,1936.26983434595,17128,10.9180311760448
493.5,1528.7890274729,1262.02595147379,2292.85297436418,1892.76604198598,16692,10.9184205040529
494,1498.62020199349,1237.12137667878,2254.58793779844,1861.17798875415,16361,10.9173638664656
494.5,1470.45384448434,1213.86985308968,2219.06734883492,1831.85549606351,16052.5,10.9167510490746
495,1443.78393826169,1191.85366042248,2185.55281573757,1804.18901641177,15764.5,10.9188421349179
495.5,1423.28333827747,1174.93027286806,2161.14897491083,1784.04347645463,15530.5,10.9117222221031
496,1404.0538852977,1159.05622598715,2138.49905317668,1765.34580888006,15322.5,10.9130917686302
496.5,1400.93799510298,1156.48403700816,2140.37772245741,1766.89666340865,15301.5,10.9222774834745
497,1380.29968688313,1139.44697034957,2115.26501512948,1746.16594923548,15064,10.9135983573821
497.5,1355.7213560844,1119.15738770966,2083.88669523103,1720.26292840406,14801.5,10.9178479240892
498,1346.88793688783,1111.86533886185,2076.63710387213,1714.2783404275,14705.5,10.9180268730662
498.5,1317.11008606467,1087.28351635881,2036.78958584402,1681.38393776657,14375,10.9139935661276
499,1295.55817565016,1069.49226474843,2009.47224101574,1658.83328003741,14144.5,10.9176518578024
499.5,1266.92613696604,1045.85631811773,1970.8900703754,1626.98343042619,13832,10.9177209953766
500,1241.38382190275,1024.77095977768,1936.87488095316,1598.90365550386,13551.5,10.9164788414293
500.5,1219.23299918293,1006.48530190302,1908.60097933436,1575.56335350593,13310.5,10.917132219734
501,1176.39026662589,971.11832886266,1847.4586881763,1525.08996784748,12842,10.9164443504621
501.5,1183.13825708033,976.688841811642,1864.33516279749,1539.02161476448,12916,10.916699926027
502,1159.37359054756,957.070944669838,1832.84085568131,1513.0228456799,12660,10.9196539360762
502.5,1130.3154527711,933.083250281414,1792.65892315042,1479.85238152621,12340,10.917300405161
503,1101.96802013123,909.682247915313,1753.30671724204,1447.36686245742,12030,10.9168230858187
503.5,1085.71417010651,896.264581923514,1733.04778043958,1430.64296953661,11853,10.9172078911217
504,1056.22355699665,871.919876146129,1691.32382176289,1396.1995520984,11535.5,10.9214254357337
504.5,1046.44814060343,863.850202075343,1681.10184913691,1387.76124275851,11420.5,10.9135807823086
505,1030.97683682993,851.078533444537,1661.56077957379,1371.62995422553,11255.5,10.9172069939049
505.5,1006.57530461213,830.934899260107,1627.8122902491,1343.77034208454,10992,10.9201930626703
506,982.132468294687,810.757168254782,1593.71359040132,1315.6216287264,10725.5,10.9205677971724
506.5,965.407569547634,796.950648273772,1571.96448924002,1297.66759478611,10542,10.9197637810484
507,943.950563742766,779.237741077265,1542.24981948249,1273.1379286912,10306,10.9179105186945
507.5,911.583551848312,752.518548141935,1494.30342252289,1233.55784526877,9947.5,10.9123372245527
508,896.390474563821,739.97655740861,1474.40088041296,1217.12815863989,9790.5,10.9221144188972
508.5,866.376535982034,715.199842822445,1429.71229308555,1180.23741967697,9456.5,10.9149469535915
509,847.714597379568,699.794282998371,1403.59331792483,1158.67602442466,9256.5,10.9193496483524
509.5,813.447065404557,671.506197547556,1351.17724176163,1115.40618980155,8884,10.9214314354896
510,806.563471281341,665.823742828953,1344.28532459643,1109.71686435403,8806.5,10.9185386101336
510.5,790.87443655927,652.872335789123,1322.99381278731,1092.14057359948,8634.5,10.9176113579239
511,773.168792232327,638.256203525862,1298.09940414684,1071.59006650774,8445.5,10.9233305962816
511.5,745.965121188439,615.799384294569,1256.86244899881,1037.54867386208,8146.5,10.9207452111152
512,721.45606336355,595.566986975292,1219.86890989095,1007.0102506055,7880,10.9223743920452
512.5,701.759881710048,579.30765233528,1190.78545846048,983.001659620027,7664.5,10.9218503319796
513,683.869568059782,564.539074264071,1164.54772676215,961.342230021791,7468.5,10.9209372551851
513.5,657.855788839188,543.064518990367,1124.095645989,927.948756619375,7184,10.920389382253
514,647.442509474731,534.468284610261,1110.26776777481,916.533747192613,7068,10.9167788170193
514.5,620.107347610752,511.90291879448,1066.96108839493,880.783782830358,6771,10.9190810692473
515,607.338469183808,501.362121041204,1048.66172839793,865.677534161276,6632,10.9197714897887
515.5,592.951231855416,489.485356783904,1027.86954891089,848.513445703807,6473,10.9165836754151
516,572.626882801693,472.707465595733,996.451909357102,822.577966224034,6252.5,10.9189726738601
516.5,555.168678154206,458.295596505013,969.795126497656,800.572606984223,6065.5,10.9255088922091
517,553.509061509971,456.925571448002,970.836689503065,801.432424473294,6044.5,10.9203317711683
517.5,526.18235584575,434.367186283803,926.247369158112,764.623631093263,5746.5,10.9210866784049
518,512.512989066343,423.083029146477,905.630890599503,747.604584971525,5597.5,10.9216973565137
518.5,497.139238211411,410.391891126936,881.764049118343,727.902341700768,5430.5,10.9234986810006
519,491.58176475809,405.804158224176,875.324876366833,722.586759908648,5366.5,10.9168277061801
